GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11
Id,Id2,Geography,Estimate; Total:,Estimate; Households with one or more people 65 years and over:,Estimate; Households with one or more people 65 years and over: - 1-person household,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household:,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household: - Family households,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household: - Nonfamily households,Estimate; Households with no people 65 years and over:,Estimate; Households with no people 65 years and over: - 1-person households,Estimate; Households with no people 65 years and over: - 2-or-more-person household:,Estimate; Households with no people 65 years and over: - 2-or-more-person household: - Family households,Estimate; Households with no people 65 years and over: - 2-or-more-person household: - Nonfamily households
1500000US130670302241,130670000000,Block Group 1 Census Tract 302.24 Cobb County Georgia,1782,275,106,169,161,8,1507,179,1328,1328,0
1500000US130670302242,130670000000,Block Group 2 Census Tract 302.24 Cobb County Georgia,618,150,78,72,31,41,468,287,181,181,0
1500000US130670302261,130670000000,Block Group 1 Census Tract 302.26 Cobb County Georgia,1636,251,192,59,59,0,1385,315,1070,932,138
1500000US130670302262,130670000000,Block Group 2 Census Tract 302.26 Cobb County Georgia,611,76,41,35,35,0,535,182,353,331,22
1500000US130670302263,130670000000,Block Group 3 Census Tract 302.26 Cobb County Georgia,967,82,69,13,13,0,885,77,808,808,0
1500000US130670302271,130670000000,Block Group 1 Census Tract 302.27 Cobb County Georgia,603,142,18,124,124,0,461,57,404,280,124
1500000US130670302272,130670000000,Block Group 2 Census Tract 302.27 Cobb County Georgia,1137,193,47,146,146,0,944,229,715,581,134
1500000US130670302273,130670000000,Block Group 3 Census Tract 302.27 Cobb County Georgia,1013,99,46,53,53,0,914,307,607,553,54
1500000US130670302281,130670000000,Block Group 1 Census Tract 302.28 Cobb County Georgia,1092,78,38,40,40,0,1014,343,671,430,241
1500000US130670302282,130670000000,Block Group 2 Census Tract 302.28 Cobb County Georgia,482,20,20,0,0,0,462,168,294,118,176
1500000US130670302283,130670000000,Block Group 3 Census Tract 302.28 Cobb County Georgia,740,286,51,235,235,0,454,28,426,398,28
1500000US130670302284,130670000000,Block Group 4 Census Tract 302.28 Cobb County Georgia,479,28,0,28,28,0,451,24,427,197,230
